品種名,母,父,不明親,登録年,登録者,メモ,出典
アメリカ,不明,不明,,,,別名にMarshallがあるが、アメリカ合衆国のMarshallとは別物であろうという意見がある https://archive.org/details/strawberryhistor00darr/page/n525/mode/1up; 18章）,
アロマ,明宝×麗紅,てるのか,,1989,タキイ種苗株式会社(京都府),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1980&LANGUAGE=Japanese
エスポ,oishishikinari2go,はるのか,,2006,株式会社ホーブ(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=14538&LANGUAGE=Japanese
エッチエス_138,HS_42号,盛岡16号,,2004,ホクサン株式会社 (北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12057&LANGUAGE=Japanese
エバーベリー,大石四季成,はるよい,,1991,独立行政法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=2884&LANGUAGE=Japanese
カレイニャ,みよし,サマーベリー,,2004,"畑中克彦, 畑中昭一(北海道)",,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=12281&LANGUAGE=Japanese
カレンベリー,はつくに,てるのか,,2010,国立研究開発法人農業・食品産業技術総合研究機構,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=19474&LANGUAGE=Japanese
クワンシエ,不明,あかねっ娘,,2001,藤江充(愛知県),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=8840&LANGUAGE=Japanese
サトホロ,Tioga,Fairfax,,1988,札幌市(北海道),,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=1677&LANGUAGE=Japanese
サマーアミーゴ,徳系2号×サマーベリー実生系統,サマーフェアリー,,2011,徳島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=20813&LANGUAGE=Japanese
サマーエンジェル,サマープリンセス,紅ほっぺ,,2010,長野県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=19733&LANGUAGE=Japanese
サマーキャンディ,とちおとめ,盛岡26号×サマーベリー,,2008,宮城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=16153&LANGUAGE=Japanese
サマーティアラ,Selva,紅ほっぺ,,2011,山形県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=20497&LANGUAGE=Japanese
サマードロップ,みよし,Rosalinda実生系統,,2011,宮城県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=20762&LANGUAGE=Japanese
サマーフェアリー,徳系5,アスカルビー,,2009,徳島県,,https://www.hinshu2.maff.go.jp/vips/cmm/apCMM112.aspx?TOUROKU_NO=17390&LANGUAGE=Japanese
